Recharge_mmpa,LTA_CHIRPS_mmpa,LTA_PET_mm,Aridity,NDVI,Landcover_ext,DEM,SM10_m3m3,Lat,Long,ID
5,390.393622378088,2571,0.14246875,0.312292087536592,140,1123,0.200225377082825,-24.03,24.93,33
0.6,168.518346236046,3147.06666666667,0.049093333333333,0.130633551627398,200,489,0.178376837323109,15.9,33.8,34
10.8,259.623409364508,2657.86666666667,0.09864,0.222663938999176,110,12,0.188182125488917,15.99,-16.31,35
13,507.982024841035,2907.25,0.181525,0.201672273874283,30,264,0.209132547179858,13.26,2.06,36
136,404.202432760364,2910.86666666667,0.14862,0.193045297806913,140,309,0.200678103913864,14.19,-0.68,37
11,391.91672473305,2547,0.146682352941176,0.314701202240857,140,1101,0.202406441171964,-24.1,25.02,38
82,973.494860044419,2170.14285714286,0.463892857142857,0.452739062408606,110,141,0.269975769023101,10.2,-1.28,39
0.1,0.409980194086207,3350.86666666667,0.000506666666667,0.096340165287256,200,403,0.141420005510251,24,23,40
2,159.535431207025,2364.73684210526,0.077689473684211,0.138572519788375,200,132,0.210384992261728,33.3,10.5,41
147,1369.26187503089,1926.42857142857,0.667371428571429,0.5797871530056,20,1075,0.315442109107971,1.74,33.58,42
14,410.954996274511,2760.875,0.155175,0.293320920318365,140,348,0.196552990376949,12.81,10.45,43
147,1190.73716202713,1974.78571428571,0.592807142857143,0.49340760409832,130,396,0.293820778528849,9.75,1.75,44
11.8,258.569026456494,2208.52941176471,0.111194117647059,0.21194193760554,150,840,0.206311830629905,-32.35,22.58,45
48,499.147169024621,1865.72222222222,0.209644444444444,0.368051756512035,140,1167,0.255942252549258,-33.16,19.33,46
11.5,407.717166935893,2566.57142857143,0.180128571428571,0.356252881884575,140,1156,0.192224375903606,-19.6,20.5,47
420,1424.68450771471,1276.28571428571,1.11187142857143,0.54405415803194,130,371,0.358567540844281,-4.5,15.3,48
5,122.501303872817,2649.86666666667,0.059726666666667,0.113899379968643,140,204,0.180321827530861,11.45,43.1,49
0.1,0.078850335259273,2889.25,0.00034375,0.09890100766312,200,365,0.141129101316134,26,29,50
125,1246.9703150074,1459.35714285714,0.797792857142857,0.697412586212158,30,109,0.349725097417831,5.83,-0.33,51
71,961.021015823893,2257.21428571429,0.43405,0.3919489706556,20,198,0.267227530479431,10.79,-0.86,52
25,169.888851294553,3176.71428571429,0.056642857142857,0.161751441657543,140,264,0.179023291915655,16.7,-3.02,53
20,476.052653676274,2353.93333333333,0.234486666666667,0.427465653419495,30,1626,0.206119082868099,-19.7,17.7,54
4.5,169.816601441138,2568.3125,0.07635,0.200646549463272,200,987,0.181805686404308,-25.8,19.8,55
3,121.181479061005,2506.94444444444,0.07215,0.137364163373907,150,979,0.187152187029521,-29.75,19.58,56
0.62,200.159485108654,2323.11764705882,0.073270588235294,0.253317658603191,140,612,0.200439470509688,-30.29,17.79,57
54,567.581054253353,2058.25,0.30095,0.37530059706081,30,1534,0.235880708942811,-26,26.5,58
92,818.644130955566,1652.58823529412,0.525658823529412,0.483322121202946,30,773,0.255249685861848,-28.27,31.26,59
3.5,280.866232779851,2059.94444444444,0.125394444444444,0.296063515047232,140,118,0.201675064861774,-32.2,18.48,60
9,382.276981471922,2349.5625,0.1854125,0.288128978826783,140,1349,0.208239438633124,-27.44,23.5,61
29,298.513358251844,2517.41176470588,0.141329411764706,0.264136804888646,140,1067,0.199668483436108,-27.24,22.83,62
156,564.627525687927,1854.11764705882,0.248023529411765,0.42058902233839,60,839,0.256010574790148,-33.28,19.24,63
13,300.227104401191,2030.76470588235,0.144670588235294,0.218282725661993,140,661,0.230707922577858,-33.65,20.53,64
130,432.760391159066,2732.85714285714,0.174721428571429,0.31965087801218,20,351,0.198305886983871,12.68,10.34,65
95,695.585892493577,1984.25,0.3614,0.405730036172,140,1307,0.222246628254652,-18.42,30.7,66
22,536.460687416763,2177.8125,0.25705625,0.471025031346541,50,1225,0.202468475699425,-19.83,28.23,67
63,999.443548057859,1543.21428571429,0.659464285714286,0.635104310512543,130,62,0.326737282176812,6.48,1.31,68
198,1053.44540680331,1715.73333333333,0.58974,0.436616712808609,190,2248,0.29958188533783,8.94,38.84,69
130,974.054312440997,2183.21428571429,0.46615,0.434869029305198,20,152,0.272438138723373,10.33,-0.86,70
32,1097.33535908938,2022.46666666667,0.5378,0.411671963605014,130,166,0.286643871665001,9.43,-0.85,71
1.4,408.195991158403,2518.93333333333,0.17202,0.34583888053894,140,1238,0.193387565513452,-19.9,19.31,72
941,2482.39595722295,1512.5,1.29381428571429,0.663511527909173,130,1187,0.370022818446159,6.44,10.31,73
251,1981.45358944798,1458,1.3739,0.639606555302938,30,1183,0.374414205551147,5.99,10.44,74
87,1692.80054125366,1249.75,1.30050625,0.710862430433432,30,711,0.384931524594625,3.8,11.55,75
77,740.0288665765,2447.64285714286,0.319328571428571,0.328525270024935,14,405,0.231075009703636,10.6,14.34,76
2,32.3386943350566,3267.55555555556,0.009272222222222,0.103854116673271,200,211,0.168584010817788,30.47,5.43,77
94,990.243975344168,2157.875,0.48010625,0.435018462439378,20,165,0.277370819449425,10.3,-0.54,78
37,619.161737450062,2069.9375,0.31279375,0.290269993245602,30,2058,0.234915845096111,13.51,39.46,79
20,476.020742337148,2717.8,0.173073333333333,0.227080057064692,30,413,0.20486641228199,14.35,-3.61,80
24,169.414168390312,2649.41176470588,0.089058823529412,0.208518216013908,140,1201,0.181047311673562,-24.2,18.5,81
22,394.00067991606,2221.66666666667,0.18392,0.110094554722309,210,12,0.177686822414398,14.77,-17.29,82
43,541.604926913737,2371.5,0.2442375,0.44211530023151,30,1145,0.203353047370911,-17.47,16.79,83
50.6,378.309260367056,2092.11764705882,0.181982352941176,0.273682472797541,30,887,0.229464035481215,31.43,-7.8,84
60,481.324209959166,1827.42105263158,0.283026315789474,0.420982414856553,140,96,0.229906129340331,-33.52,18.6,85
184,674.65123869196,1583.0625,0.494725,0.494941828342584,130,207,0.256955171624819,-34.13,18.91,86
3.6,167.185375034529,3189.86666666667,0.05402,0.15048049390316,200,267,0.178734904527664,16.75,-3.01,87
19.4,742.493420809202,1841.94117647059,0.453017647058824,0.640864044427872,50,625,0.229926835745573,-23.15,30.3,88
12,464.339496761335,1583.5,0.329271428571429,0.325043395860121,210,62,0.243409683307012,37.04,11.03,89
7.5,153.170168745026,3225.9375,0.0378625,0.152338717877865,140,57,0.178872703151269,17.54,-14.81,90
0.36,36.9746494386227,3200.375,0.01321875,0.09847809933126,200,157,0.170467329521974,31.5,6.77,91
1.05,73.735792160593,2707,0.028282352941177,0.070431535633711,200,19,0.189610340942939,33.5,8.5,92
149,1095.64539886136,2259.28571428571,0.4681,0.478736703594526,20,348,0.26928754828193,11.42,-7.47,93
52,1117.48108399643,1693.06666666667,0.661106666666667,0.560133367776871,30,60,0.27120503038168,-6.92,39.17,94
12,427.032925861998,2173.86666666667,0.194793333333333,0.39760357412425,30,1108,0.197796620428562,-22.4,26.72,95
50,830.952461671971,1824.17647058824,0.474664705882353,0.519365998831662,60,727,0.240565684934457,-23.59,30.1,96
25,457.25978052111,2975.53333333333,0.146446666666667,0.184901106357574,140,255,0.203393578529358,13.6,2.7,97
24,473.069769813458,2953.07142857143,0.154157142857143,0.188493107259274,140,232,0.204566384851933,13.48,2.66,98
43,687.844392630381,2630.85714285714,0.237507142857143,0.355971992015839,20,353,0.222816312064727,11.5,13,99
60,931.503302834281,2297.64285714286,0.413742857142857,0.393614281307567,20,196,0.260923614104589,10.94,-0.95,100
4,393.281981336408,2513.125,0.1532875,0.322372905910015,30,1162,0.204536509784785,-24.12,25.16,101
8.6,388.350411966088,2514.125,0.1526375,0.321199263517673,140,1152,0.202166360887614,-24.03,25.18,102
0.5,351.112935494312,2652.05882352941,0.125770588235294,0.283190133670966,140,1030,0.19628389721567,-23.17,23.96,103
3.2,319.393492418929,2581.14285714286,0.119428571428571,0.340327818285335,140,973,0.187823257098595,-21.31,25.4,104
6.6,401.527626932769,2336.8125,0.1996125,0.357576474547386,130,945,0.199723517665496,-24.09,26.27,105
45,429.386907218184,1667.41176470588,0.287852941176471,0.544041988941339,30,145,0.237808241293981,-33.71,25.42,106
9.6,454.100911321136,2279.75,0.21890625,0.3052655428648,140,1302,0.207428039362033,-26.65,24.89,107
