"Recharge_mmpa","LTA_P_mmpa","LTA_WD_days","LTA_PET_mm","Aridity","NDVI","Aquifer_group","Soil_group","Landcover_NOAA","Landcover_GlobCover","Landcover","DEM","SM10_m3m3","SM10_kgm2","Lat","Long","ID"
9,424.28334015,56.227331917,1588.1900279,0.26877665014,0.2961165,"Basement","CM",16,140,"grassland",1438,0.20598689,14.032971,-27.44,23.5,61
29,321.94667211,42.389665672,1629.6100229,0.19836396005,0.26123023,"Sedimentary","CM",16,140,"grassland",1094,0.19925772,13.022212,-27.24,22.83,62
156,840.76668064,78.478331524,1479.696689,0.56985020507,0.3901623,"Sedimentary","LV",16,60,"forest",445,0.25258872,18.206207,-33.28,19.24,63
13,420.18000844,80.902664753,1339.3366904,0.31460103485,0.24513091,"Sedimentary","LP",16,60,"grassland",812,0.23172094,18.412966,-33.65,20.53,64
130,483.79333973,40.847998927,2344.8767041,0.2063706143,0.30428538,"Sedimentary","AR",15,140,"cropland",347,0.20184469,14.09378,12.68,10.34,65
95,739.76667785,73.895998479,1294.8533555,0.57463832404,0.42744827,"Sedimentary","AC",8,140,"grassland",1362,0.22364894,18.060057,-18.42,30.7,66
22,592.22000833,65.957665179,1511.9666922,0.39382512116,0.43517908,"Sedimentary","VR",8,130,"forest",1210,0.20750998,19.339466,-19.83,28.23,67
63,1048.0900191,103.82499783,1265.9600198,0.8295610167,0.59158856,"Basement","LV",15,130,"cropland",77,0.32886785,25.944187,6.48,1.31,68
198,1086.8900212,96.488331134,1197.6700196,0.90875390772,0.43886685,"Sedimentary","VR",8,20,"cropland",2159,0.2813675,30.64266,8.94,38.84,69
130,1023.5466827,118.64199726,1475.060022,0.69474866085,0.43045902,"Sedimentary","PT",16,130,"cropland",159,0.27209252,18.791416,10.33,-0.86,70
32,1115.4333501,138.49233076,1424.3033548,0.7840510651,0.4419602,"Sedimentary","PT",16,130,"shrubland",139,0.29028806,20.2974,9.43,-0.85,71
1.4,372.16667225,64.4976653,1421.6500276,0.2620602369,0.33818346,"Sedimentary","AR",16,140,"grassland",1259,0.19587046,13.059705,-19.9,19.31,72
941,1961.9600312,168.58299596,1144.8800208,1.7142600975,0.6519437,"Basement","FR",8,30,"forest",942,0.36709657,26.680746,6.44,10.31,73
251,2039.0000256,185.13799608,1055.5566826,1.9322477968,0.6240464,"Basement","WR",8,130,"cropland",1438,0.37472567,29.47448,5.99,10.44,74
87,1662.8300272,154.59766337,1033.4800151,1.6099339229,0.7313718,"Basement","FR",1,30,"forest",695,0.38214442,27.886757,3.8,11.55,75
77,737.01334534,68.46733164,1996.2300345,0.36922895015,0.34463128,"Sedimentary","VR",8,30,"urban",514,0.23281746,18.421581,10.6,14.34,76
2,10.133333561,8.2273331533,1814.6066944,0.0055899156632,0.09999944,"Unconsolidated","AR",12,200,"sparse",228,0.1692076,4.2583566,30.47,5.43,77
94,1023.5466827,118.64199726,1475.060022,0.69474866085,0.4292535,"Sedimentary","PT",16,20,"shrubland",159,0.27209252,18.791416,10.3,-0.54,78
37,547.55667621,59.359331887,1625.0966894,0.33730885516,0.26855856,"Sedimentary","LP",8,30,"sparse",2026,0.24154882,19.197529,13.51,39.46,79
20,499.98334283,51.930998826,1909.6533666,0.26231940291,0.23015194,"Sedimentary","LP",16,30,"cropland",357,0.20265788,13.054799,14.35,-3.61,80
