ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,LMM,Rech_obs/P,Rech_RF/P,Rech_RF_RK/P,Rech_LMM/P
67,28.23,-19.83,22.0,27.152698516845703,26.94534683227539,26.481706619262695,22.89905548095703,0.03714835650696395,0.045849005664995245,0.044715994472963524,0.03866646712178812
68,1.31,6.48,63.0,100.97537231445312,96.88333129882812,88.51516723632812,99.58711242675781,0.060109340659591816,0.09634227067743777,0.08445378318966965,0.09501770898674691
69,38.84,8.94,198.0,116.07299041748047,110.50081634521484,128.6588897705078,126.86607360839844,0.1821711453210276,0.10679368487469232,0.11837342073346087,0.11672392894759463
70,-0.86,10.33,130.0,90.6711654663086,96.17523193359375,88.39324188232422,81.6782455444336,0.1270093511094919,0.08858527607859404,0.08635975610721816,0.07979923820277122
71,-0.85,9.43,32.0,82.7488784790039,74.1745834350586,68.9250717163086,76.8427505493164,0.02868840168453916,0.07418540827346193,0.061792191985410305,0.06889049044698847
72,19.31,-19.9,1.4,5.483754634857178,4.682626247406006,4.318607807159424,8.997852325439453,0.0037617554294586625,0.014734674122495068,0.011603961690203238,0.0241769427419208
73,10.31,6.44,941.0,262.3070373535156,277.2488098144531,327.78216552734375,277.3948669433594,0.4796224107707501,0.13369642254795575,0.1670687273516277,0.14138660448332144
74,10.44,5.99,251.0,249.62689208984375,255.7500457763672,281.6002502441406,269.76080322265625,0.123099557061624,0.12242613484832501,0.13810703614938719,0.13230053939958922
75,11.55,3.8,87.0,181.36032104492188,195.52838134765625,147.7542724609375,149.0142822265625,0.052320440800853976,0.10906726368798512,0.0888571110961578,0.08961486128409897
76,14.34,10.6,77.0,52.390220642089844,54.001522064208984,56.724098205566406,58.94328689575195,0.10447572013024846,0.07108449388785643,0.07696481829565564,0.0799758746139938
77,5.43,30.47,2.0,1.055882453918457,0.6882414817810059,1.2043685913085938,0.42393505573272705,0.19736841661833457,0.10419892403248374,0.11885216094571563,0.04183569534948688
78,-0.54,10.3,94.0,90.6711654663086,96.17523193359375,88.39324188232422,82.11436462402344,0.09183753080224799,0.08858527607859404,0.08635975610721816,0.08022532436665718
79,39.46,13.51,37.0,52.559295654296875,64.02794647216797,71.6333999633789,67.84806060791016,0.06757291364996468,0.09598877693920992,0.13082371757239963,0.12391057137232117
80,-3.61,14.35,20.0,20.716934204101562,20.433866500854492,20.189760208129883,30.243022918701172,0.04000133261799529,0.041435248796169506,0.04038086567814846,0.06048806095723101
81,18.5,-24.2,24.0,6.807985305786133,7.207523822784424,7.91440486907959,7.701414585113525,0.11917767249853262,0.03380666013115843,0.0393008479794983,0.03824319438333676
82,-17.29,14.77,22.0,15.027873992919922,15.782720565795898,14.462285995483398,-3.4028230607370965e+38,0.0429614772377967,0.029346348476332097,0.028241871390975722,-6.6450138849139294e+35
83,16.79,-17.47,43.0,21.723968505859375,21.77878189086914,24.013290405273438,26.130088806152344,0.07822685680250417,0.039520878453255165,0.043685679764890066,0.047536621285478996
84,-7.8,31.43,50.6,23.659809112548828,24.013172149658203,26.731822967529297,23.2956485748291,0.13383528653234222,0.06257939391064217,0.07070476652946898,0.06161620161994076
85,18.6,-33.52,60.0,55.82538986206055,56.92005920410156,65.56968688964844,42.998905181884766,0.09905076182880089,0.09215912325378191,0.10824545732159359,0.070984571934501
86,18.91,-34.13,184.0,99.99205017089844,104.9373550415039,114.36896514892578,68.3276596069336,0.29873200738174843,0.1623414449443967,0.18568299207125993,0.11093292888084827
87,-3.01,16.75,3.6,4.943698883056641,6.866675853729248,6.302912712097168,5.578909397125244,0.022087244198854456,0.030331301243243344,0.03867054784337616,0.03422853728266365
88,30.3,-23.15,19.4,41.962310791015625,37.74654769897461,34.40196228027344,28.780677795410156,0.026897746437134173,0.05817997915324523,0.047697693729621085,0.03990388523864949
89,11.03,37.04,12.0,-9999.0,-9999.0,-3.3999999521443642e+38,-3.4028230607370965e+38,0.021007054488887327,-17.504128152865363,-5.9519986880759134e+35,-5.956940787745544e+35
90,-14.81,17.54,7.5,4.023403644561768,4.782905101776123,4.768333911895752,5.728555202484131,0.058494734623721394,0.031379723796367213,0.03718965690315111,0.04467870884621971
91,6.77,31.5,0.36,1.0430129766464233,0.4601910412311554,0.8337621092796326,0.7652706503868103,0.011737854369382671,0.034007595625700125,0.027184939492871242,0.024951765131675387
92,8.5,33.5,1.05,1.3902943134307861,1.1354597806930542,1.3043872117996216,2.314282178878784,0.008890770391163793,0.011772178587479835,0.011044768763124544,0.01959595378359383
93,-7.47,11.42,149.0,104.06619262695312,105.111083984375,111.79557800292969,112.23606872558594,0.13186735144370992,0.09210022279561908,0.09894085083466453,0.09933069207582028
94,39.17,-6.92,52.0,47.65892028808594,45.31843566894531,43.24378204345703,64.39068603515625,0.052623233675877214,0.04823012498192215,0.04376207014426043,0.06516242534188599
95,26.72,-22.4,12.0,7.045475959777832,7.1851806640625,6.918697357177734,8.216506958007812,0.029469547629168105,0.017302249113902643,0.016990906774929062,0.020178061928700197
96,30.1,-23.59,50.0,53.455101013183594,49.48930358886719,49.24968719482422,34.4990234375,0.06971750357648136,0.074535123921356,0.06867130486291492,0.048103715797780416
97,2.7,13.6,25.0,26.293973922729492,27.97235870361328,24.164447784423828,24.373714447021484,0.05079717611638319,0.053426384966099076,0.049099428394420906,0.04952463461503134
98,2.66,13.48,24.0,24.73775291442871,22.235736846923828,22.47385025024414,24.373714447021484,0.042375623924417995,0.043678238093208595,0.03968097609741804,0.043035473210339
99,13.0,11.5,43.0,35.22041320800781,34.904598236083984,34.3320198059082,43.871559143066406,0.06364021953470139,0.05212639136419799,0.050811564593435214,0.06493013151614842
100,-0.95,10.94,60.0,81.80889892578125,78.55170440673828,81.3331298828125,80.45597076416016,0.06193548285890199,0.0844478942853895,0.08395677786196305,0.08305132330266601
101,25.16,-24.12,4.0,7.10331916809082,7.027551651000977,6.374998569488525,6.4374003410339355,0.009888099526768062,0.01755958172612034,0.015759155084526643,0.015913413816448556
102,25.18,-24.03,8.6,7.10331916809082,7.027551651000977,6.374998569488525,6.4374003410339355,0.021259413982551333,0.01755958172612034,0.015759155084526643,0.015913413816448556
103,23.96,-23.17,0.5,3.51094388961792,2.515109062194824,2.287233591079712,3.7551839351654053,0.0015308309108003312,0.010749322864625316,0.0070027357628913356,0.011497103287384059
