ID,Lon,Lat,Observations,RF,RK RF,LMM
77,5.43,30.47,2,1.0930587053299,1.29077708721161,1.09421396255493
78,-0.54,10.3,94,105.347381591797,94.7195434570313,80.50341796875
79,39.46,13.51,37,50.6383399963379,65.0765380859375,81.0409393310547
80,-3.61,14.35,20,25.2199192047119,25.2660083770752,31.3590431213379
81,18.5,-24.2,24,10.6805248260498,12.2121524810791,8.04101371765137
82,-17.29,14.77,22,-9999,-3.39999995214436E+038,15.2602825164795
83,16.79,-17.47,43,27.2650928497314,30.2234382629395,28.7064647674561
84,-7.8,31.43,50.6,8.30190658569336,10.6508016586304,40.076057434082
85,18.6,-33.52,60,16.13454246521,19.676118850708,50.1389198303223
86,18.91,-34.13,184,-9999,-3.39999995214436E+038,87.4712371826172
87,-3.01,16.75,3.6,3.87818431854248,4.64331197738647,6.54040336608887
88,30.3,-23.15,19.4,32.9730606079102,28.4684467315674,29.6998023986816
89,11.03,37.04,12,-9999,-3.39999995214436E+038,12.3139371871948
90,-14.81,17.54,7.5,4.07353353500366,4.6644172668457,6.21080207824707
91,6.77,31.5,0.36,0.840226233005524,0.679136514663696,0.616977512836456
92,8.5,33.5,1.05,0.833033442497253,0.84592342376709,1.18861353397369
93,-7.47,11.42,149,121.753829956055,127.452682495117,132.939651489258
94,39.17,-6.92,52,78.2655639648438,69.3506469726563,54.0850563049316
95,26.72,-22.4,12,13.5440731048584,11.7864952087402,8.180006980896
96,30.1,-23.59,50,42.1123924255371,40.970947265625,33.5619964599609
97,2.7,13.6,25,27.8018894195557,24.4583187103271,22.4678516387939
98,2.66,13.48,24,26.5028877258301,23.4768962860107,23.2616577148437
99,13,11.5,43,40.7007026672363,44.6242446899414,57.5135765075684
100,-0.95,10.94,60,86.2697601318359,78.1168975830078,81.5714263916016
101,25.16,-24.12,4,7.85343551635742,6.96814775466919,6.25176525115967
102,25.18,-24.03,8.6,10.3763704299927,8.99691390991211,5.77818393707275
103,23.96,-23.17,0.5,5.91757392883301,2.99973964691162,2.00585055351257
104,25.4,-21.31,3.2,4.20283222198486,3.63286709785461,3.69921040534973
105,26.27,-24.09,6.6,8.64106178283691,8.2549295425415,8.18714809417725
106,25.42,-33.71,45,23.5948276519775,25.223991394043,20.7231864929199
107,24.89,-26.65,9.6,12.9249181747437,12.1020727157593,13.215672492981
108,18.12,-32.95,26,13.5511169433594,16.1683406829834,18.7361030578613
109,29.32,-23.37,5,12.0915403366089,11.0421543121338,12.9037885665894
110,-1.53,12.41,221,65.2344741821289,80.0041961669922,115.456047058105
111,-4.76,10.56,266,98.5915756225586,119.002639770508,164.299835205078
113,6.48,18.52,1,1.03230822086334,1.09080958366394,2.01718664169312
114,14,31,0.2,0.80315101146698,0.515273809432983,0.515951335430145
115,33.5,16.75,1,1.0152153968811,0.909063756465912,1.02883613109589
116,7.6,17.2,7.5,1.85428869724274,2.43350076675415,5.76795339584351
117,-16.31,15.99,10,12.3472061157227,12.1419897079468,11.0902853012085
118,39.2,13.68,167,52.8278579711914,66.7473220825195,90.5510940551758
119,30.11,-2.52,235,169.376647949219,186.066833496094,130.044036865234
120,19,-24,3,4.25464344024658,4.33595132827759,6.16797780990601
121,17.4,-20.31,20,10.6278629302979,12.6170520782471,20.3062362670898
122,17.8,-21.5,28,17.5827331542969,21.0293788909912,18.6824989318848
123,18,-20,55,12.306004524231,15.7004346847534,18.9221630096436
124,16.55,-17,15,20.6344871520996,21.2232055664062,26.5249652862549
125,17.16,-17.47,33,23.3843650817871,26.2658271789551,28.4262847900391
126,9.96,35.55,9,15.2046852111816,12.3116760253906,7.07104921340942
127,2.26,6.39,491,202.435852050781,203.791229248047,169.266387939453
128,2.35,6.45,148,206.802307128906,201.145095825195,161.52507019043
129,1.38,10.28,51,83.5387191772461,72.3572845458984,82.3145446777344
130,27.7,-26,100,109.505348205566,108.303321838379,50.7592964172363
131,30.55,-17.71,80,52.803897857666,64.8314971923828,69.5923461914063
132,-17,14.72,8,9.95527648925781,11.1364850997925,14.4929332733154
133,38.64,9.4,160,132.534164428711,150.987442016602,152.531646728516
134,33.74,-5.96,41,42.449764251709,40.7777404785156,42.6566734313965
