Lon,Lat,Res_05,Res_01
30.1,-23.59,-0.043710920688267,0.036794020507896
2.7,13.6,-0.018107329440488,-0.040246504373584
2.66,13.48,-0.00512615346916,-0.026433727108084
13,11.5,0.059280033161439,0.054326967265395
-0.95,10.94,-0.111156354923628,-0.155318214982431
25.16,-24.12,-0.258440262993856,-0.241549268314648
25.18,-24.03,0.073998196921749,0.040392764260399
23.96,-23.17,-0.846364280358384,-0.86014376605851
25.4,-21.31,-0.183717542604765,-0.061770279726341
26.27,-24.09,-0.080705364070809,-0.076032006431059
25.42,-33.71,0.040437689369887,0.254606841750477
24.89,-26.65,-0.197535996175793,-0.099266061780936
18.12,-32.95,0.226433614598407,0.181943459733259
29.32,-23.37,-0.204003233742112,-0.272787907634631
-1.53,12.41,0.469660302015474,0.2758728576596
-4.76,10.56,0.368999109847305,0.274650004279408
6.48,18.52,-0.119952527417707,0.00105331226837
14,31,-0.740014635458002,-0.589256294199919
33.5,16.75,-0.024022031062137,-0.005834457906904
7.6,17.2,0.306336292169646,0.400438400626816
-16.31,15.99,-0.006566885479933,-0.035209637378544
39.2,13.68,0.508255043866318,0.251965128893632
30.11,-2.52,0.224938038714235,0.170273933225401
19,-24,-0.308827171727836,-0.157685883644303
17.4,-20.31,0.147286598197766,0.136368371910882
17.8,-21.5,0.393748305757987,0.204785295741864
18,-20,0.609647862460383,0.444904747785147
16.55,-17,-0.1634915721262,-0.127753617372722
17.16,-17.47,0.151403510431814,0.126943604813177
9.96,35.55,-0.332219062141437,-0.228504198033718
2.26,6.39,0.402138479819379,0.341660868784681
2.35,6.45,-0.118681296908632,-0.159329684436214
1.38,10.28,-0.206775138336209,-0.211523625453267
27.7,-26,0.13793221254743,-0.003572049466895
30.55,-17.71,0.010452511996815,0.159359723238648
-17,14.72,-0.25960566348369,0.019450814075144
38.64,9.4,0.02751533809053,0.127620588230426
33.74,-5.96,0.10928683556527,-0.020545207005144
