ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,LMM
54,17.7,-19.7,20,17.7877216339111,18.0034637451172,23.904577255249,24.9248580932617
55,19.8,-25.8,4.5,5.00479125976563,4.92510557174683,4.7334451675415,5.42841815948486
56,19.58,-29.75,3,3.1062114238739,3.10732793807983,3.11102318763733,3.20880794525146
57,17.79,-30.29,0.62,2.69593620300293,2.41709303855896,1.86576068401337,3.15213871002197
58,26.5,-26,54,32.3387870788574,33.2448844909668,36.7261657714844,28.8150901794434
59,31.26,-28.27,92,92.7499008178711,92.5483551025391,91.7639617919922,62.7961959838867
60,18.48,-32.2,3.5,5.32230663299561,4.45153760910034,4.94648838043213,8.07718086242676
61,23.5,-27.44,9,15.6996631622314,16.674280166626,15.14599609375,14.3328828811646
62,22.83,-27.24,29,15.2547750473022,17.1196460723877,18.7863178253174,12.7958564758301
63,19.24,-33.28,156,76.6870193481445,81.0727844238281,81.6663513183594,63.0133895874023
64,20.53,-33.65,13,14.2744827270508,14.462363243103,14.3106536865234,14.4222478866577
65,10.34,12.68,130,33.6494064331055,41.5661277770996,42.0246162414551,40.4436225891113
66,30.7,-18.42,95,77.794548034668,81.2274627685547,83.7665176391602,53.8959999084473
67,28.23,-19.83,22,27.1644191741943,26.9453468322754,26.667896270752,22.899055480957
68,1.31,6.48,63,98.7262496948242,96.8833312988281,84.7723541259766,99.5871124267578
69,38.84,8.94,198,117.564445495605,110.500816345215,127.089744567871,126.866073608398
70,-0.86,10.33,130,89.8108062744141,96.1752319335938,94.0196762084961,81.6782455444336
71,-0.85,9.43,32,81.2471466064453,74.1745834350586,66.5314712524414,76.8427505493164
72,19.31,-19.9,1.4,5.23224401473999,4.68262624740601,3.82838869094849,8.99785232543945
73,10.31,6.44,941,259.084289550781,277.248809814453,334.762786865234,277.394866943359
74,10.44,5.99,251,249.119720458984,255.750045776367,263.355926513672,269.760803222656
75,11.55,3.8,87,174.040664672852,195.528381347656,151.556045532227,149.014282226563
76,14.34,10.6,77,51.8442230224609,54.001522064209,54.7733497619629,58.943286895752
77,5.43,30.47,2,1.0494841337204,0.688241481781006,1.20218229293823,0.423935055732727
78,-0.54,10.3,94,89.8108062744141,96.1752319335938,94.0196762084961,82.1143646240234
79,39.46,13.51,37,51.2175064086914,64.027946472168,78.3340072631836,67.8480606079102
80,-3.61,14.35,20,20.5752449035645,20.4338665008545,20.4266490936279,30.2430229187012
