ID,Lon,Lat,Observations,RF,RF (zeros),RK RF,RK RF (zeros),LMM
57,17.79,-30.29,0.62,2.778010845184326,2.236849784851074,2.1037776470184326,2.0368728637695312,3.1521387100219727
58,26.5,-26.0,54.0,31.993940353393555,33.267826080322266,25.6392822265625,27.814496994018555,28.81509017944336
59,31.26,-28.27,92.0,91.85794830322266,92.44867706298828,71.31813049316406,69.50592803955078,62.79619598388672
60,18.48,-32.2,3.5,5.578057765960693,4.409605503082275,4.291744709014893,3.723891496658325,8.077180862426758
61,23.5,-27.44,9.0,15.598503112792969,16.07499885559082,12.088835716247559,13.3385648727417,14.33288288116455
62,22.83,-27.24,29.0,15.033005714416504,16.545787811279297,11.758506774902344,14.088174819946289,12.795856475830078
63,19.24,-33.28,156.0,76.53583526611328,80.40435791015625,58.55481719970703,66.13189697265625,63.013389587402344
64,20.53,-33.65,13.0,14.433160781860352,15.029023170471191,11.484070777893066,12.691069602966309,14.422247886657715
65,10.34,12.68,130.0,34.46125030517578,42.29301452636719,27.987232208251953,31.63166046142578,40.44362258911133
66,30.7,-18.42,95.0,77.91307067871094,79.47865295410156,62.068050384521484,64.68399047851562,53.895999908447266
67,28.23,-19.83,22.0,27.229736328125,27.053037643432617,20.33506202697754,20.67266845703125,22.89905548095703
68,1.31,6.48,63.0,98.4725570678711,98.07718658447266,88.8970947265625,90.58655548095703,99.58711242675781
69,38.84,8.94,198.0,116.1162338256836,110.27655029296875,148.31918334960938,144.21249389648438,126.86607360839844
70,-0.86,10.33,130.0,89.85614776611328,95.48394012451172,76.74071502685547,86.33039855957031,81.6782455444336
71,-0.85,9.43,32.0,81.97571563720703,73.59530639648438,70.63705444335938,67.54531860351562,76.8427505493164
72,19.31,-19.9,1.4,5.319796085357666,4.81453800201416,4.194371223449707,4.161802291870117,8.997852325439453
73,10.31,6.44,941.0,262.9737854003906,272.84716796875,214.15673828125,227.22286987304688,277.3948669433594
74,10.44,5.99,251.0,245.5723876953125,248.74734497070312,219.46217346191406,222.87094116210938,269.76080322265625
75,11.55,3.8,87.0,179.0673065185547,188.1097412109375,164.87791442871094,169.26051330566406,149.0142822265625
76,14.34,10.6,77.0,51.03260803222656,54.44320297241211,41.64403533935547,40.9771842956543,58.94328689575195
77,5.43,30.47,2.0,1.0329787731170654,0.7115352153778076,1.1183775663375854,0.7772377133369446,0.42393505573272705
